"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611947";"4";"32";"Quotas ou quinhoes de capital";"#NULO#";"10000,00";"31/08/2018";"10:27:39"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000604492";"15";"61";"Deposito bancario em conta corrente no Pais";"CONTA - RICO CTVM";"10080,39";"22/08/2018";"18:46:11"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611928";"2";"21";"Veiculo automotor terrestre: caminhao, automovel, moto, etc.";"#NULO#";"19000,00";"28/08/2018";"19:03:37"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000604728";"2";"12";"Casa";"#NULO#";"9000,00";"28/08/2018";"18:58:02"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611915";"3";"12";"Casa";"#NULO#";"29996,81";"28/08/2018";"19:03:37"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611916";"28";"21";"Veiculo automotor terrestre: caminhao, automovel, moto, etc.";"#NULO#";"4000,00";"28/08/2018";"19:13:56"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611947";"2";"23";"Embarcacao";"#NULO#";"15000,00";"31/08/2018";"10:27:39"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611949";"4";"13";"Terreno";"#NULO#";"45000,00";"31/08/2018";"10:27:39"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611949";"17";"39";"Outras participacoes societarias";"#NULO#";"5000,00";"31/08/2018";"10:27:39"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611952";"1";"61";"Deposito bancario em conta corrente no Pais";"#NULO#";"37591,04";"31/08/2018";"10:27:39"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611955";"10";"21";"Veiculo automotor terrestre: caminhao, automovel, moto, etc.";"Veiculo Pajero Full ano 2016/2017, placas PMF 4632. Financiamento Bradesco";"234549,44";"31/08/2018";"10:27:39"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611916";"2";"21";"Veiculo automotor terrestre: caminhao, automovel, moto, etc.";"#NULO#";"1000,00";"28/08/2018";"19:13:56"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611917";"15";"12";"Casa";"#NULO#";"700000,00";"28/08/2018";"19:03:37"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611918";"1";"12";"Casa";"#NULO#";"60000,00";"28/08/2018";"19:03:37"
"02/09/2018";"08:02:17";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"CE";"CE";"CEARÁ";"60000611950";"3";"15";"Sala ou conjunto";"Salas Comerciais ¿ 1901 -1906  Empreendimentos Green Tower  LC Corporate";"1664325,61";"31/08/2018";"10:27:39"
